,ID,FECHA,TIENDA,TOTAL,EFECTIVO,TARJETAS
0,271,2019-09-10,Tienda01,681.9833333333333,319.0,362.98333333333335
1,272,2019-09-10,Tienda02,888.82,173.48666666666668,715.3333333333334
2,273,2019-09-11,Tienda03,338.5833333333333,142.6,195.98333333333335
3,274,2019-09-11,Tienda01,549.85,205.21666666666667,344.6333333333334
4,275,2019-09-11,Tienda02,658.4133333333333,250.79666666666665,407.6166666666666
5,276,2019-09-12,Tienda03,283.96666666666664,33.0,250.96666666666667
6,277,2019-09-12,Tienda01,839.6266666666667,84.07666666666667,755.5500000000001
7,278,2019-09-12,Tienda02,657.4499999999999,225.5666666666667,431.8833333333334
8,282,2019-09-13,Tienda03,687.5666666666666,134.66666666666666,552.9
9,283,2019-09-13,Tienda01,1003.2333333333332,64.0,939.2333333333332
10,284,2019-09-13,Tienda02,753.2666666666668,213.33333333333334,539.9333333333333
11,285,2019-09-14,Tienda03,741.9666666666667,166.66666666666666,575.3000000000001
12,286,2019-09-14,Tienda01,1336.4166666666667,197.33333333333334,1139.0833333333333
13,287,2019-09-14,Tienda02,1227.3,250.66666666666666,976.6333333333333
14,288,2019-09-16,Tienda03,546.6,131.96666666666667,414.6333333333334
15,289,2019-09-16,Tienda01,1042.3500000000001,167.45000000000002,874.9
16,290,2019-09-16,Tienda02,1050.5333333333333,332.3,718.2333333333332
17,291,2019-09-17,Tienda03,548.0,166.13333333333333,381.8666666666666
18,292,2019-09-17,Tienda01,668.4499999999999,106.91666666666667,561.5333333333333
19,293,2019-09-17,Tienda02,857.2333333333332,214.0,643.2333333333333
20,294,2019-09-18,Tienda03,397.1166666666666,0.0,397.1166666666666
21,295,2019-09-18,Tienda01,511.3,140.33333333333334,370.9666666666667
22,296,2019-09-18,Tienda02,1078.8666666666666,252.3166666666667,826.5500000000001
23,297,2019-09-19,Tienda03,873.6999999999999,99.0,774.6999999999999
24,298,2019-09-19,Tienda01,922.85,152.65,770.1999999999999
25,299,2019-09-19,Tienda02,793.5500000000001,112.26666666666667,681.2833333333333
26,300,2019-09-21,Tienda03,736.4,273.78333333333336,462.6166666666666
27,301,2019-09-21,Tienda01,1443.1333333333332,284.90000000000003,1158.2333333333333
28,302,2019-09-21,Tienda02,1713.43,386.94666666666666,1326.4833333333333
29,303,2019-09-20,Tienda03,836.8666666666667,57.63333333333333,779.2333333333332
30,304,2019-09-20,Tienda01,931.3166666666666,205.4,725.9166666666666
31,305,2019-09-20,Tienda02,777.88,166.64666666666668,611.2333333333333
32,306,2019-09-23,Tienda03,817.1033333333334,104.96666666666665,712.1366666666667
33,307,2019-09-23,Tienda01,1152.8033333333333,271.90333333333336,880.9
34,308,2019-09-23,Tienda02,1175.3666666666666,149.26666666666668,1026.1000000000001
35,309,2019-09-24,Tienda03,611.9333333333333,33.0,578.9333333333333
36,310,2019-09-24,Tienda01,582.8166666666667,188.96333333333334,393.8533333333333
37,311,2019-09-24,Tienda02,798.2399999999999,189.04,609.1999999999999
38,312,2019-09-25,Tienda03,551.4333333333333,147.61666666666667,403.81666666666666
39,313,2019-09-25,Tienda01,890.4666666666667,165.31666666666666,725.15
40,314,2019-09-25,Tienda02,656.5500000000001,110.66666666666667,545.8833333333333
41,315,2019-09-26,Tienda03,389.3,135.66666666666666,253.63333333333333
42,316,2019-09-26,Tienda01,676.5833333333334,29.666666666666668,646.9166666666666
43,317,2019-09-26,Tienda02,811.1833333333334,215.98333333333335,595.1999999999999
44,318,2019-09-28,Tienda03,1015.4666666666667,134.0,881.4666666666667
45,319,2019-09-28,Tienda01,1877.4033333333334,435.6366666666667,1441.7666666666667
46,320,2019-09-28,Tienda02,1596.8,274.65000000000003,1322.1499999999999
47,321,2019-09-27,Tienda03,850.8333333333334,85.36666666666667,765.4666666666667
48,322,2019-09-27,Tienda01,972.2166666666667,162.33333333333334,809.8833333333333
49,323,2019-09-27,Tienda02,1320.0666666666666,208.26666666666665,1111.8
50,324,2019-09-30,Tienda03,652.2333333333333,84.0,568.2333333333333
51,325,2019-09-30,Tienda01,1113.8966666666668,251.99666666666667,861.9
52,326,2019-09-30,Tienda02,825.2166666666667,158.33333333333334,666.8833333333333
53,327,2019-10-01,Tienda03,305.90000000000003,134.73333333333332,171.16666666666666
54,328,2019-10-01,Tienda01,1093.6000000000001,204.45000000000002,889.15
55,329,2019-10-01,Tienda02,851.7333333333332,212.28333333333333,639.4499999999999
56,330,2019-10-03,Tienda03,670.6,178.95000000000002,491.65000000000003
57,331,2019-10-03,Tienda01,955.1666666666666,170.66666666666666,784.5
58,332,2019-10-03,Tienda02,575.25,0.0,575.25
59,333,2019-10-02,Tienda03,402.2,72.56666666666666,329.6333333333333
60,334,2019-10-02,Tienda01,912.2333333333332,170.66666666666666,741.5666666666666
61,335,2019-10-02,Tienda02,951.9499999999999,186.66666666666666,765.2833333333333
62,336,2019-10-05,Tienda03,1354.07,199.28333333333333,1154.7866666666666
63,337,2019-10-05,Tienda01,1853.7333333333333,328.0,1525.7333333333333
64,338,2019-10-05,Tienda02,2317.62,384.28666666666663,1933.3333333333333
65,339,2019-10-04,Tienda03,782.5,145.33333333333334,637.1666666666666
66,340,2019-10-04,Tienda01,990.8333333333334,170.9,819.9333333333334
67,341,2019-10-04,Tienda02,997.4833333333332,138.26666666666668,859.2166666666667
68,342,2019-10-07,Tienda03,608.2533333333333,145.33333333333334,462.92
69,343,2019-10-07,Tienda01,896.2333333333332,229.3166666666667,666.9166666666666
70,344,2019-10-07,Tienda02,756.8666666666667,168.6,588.2666666666667
71,345,2019-10-08,Tienda03,474.25333333333333,129.63666666666668,344.6166666666666
72,346,2019-10-08,Tienda01,796.5166666666668,192.25,604.2666666666667
73,347,2019-10-08,Tienda02,1079.5166666666667,256.95,822.5666666666666
74,348,2019-10-09,Tienda03,590.5666666666667,53.0,537.5666666666667
75,349,2019-10-09,Tienda01,756.0366666666667,105.93333333333334,650.1033333333334
76,350,2019-10-09,Tienda02,725.65,168.63333333333333,557.0166666666667
77,351,2019-10-10,Tienda03,440.5833333333333,150.29999999999998,290.28333333333336
78,352,2019-10-10,Tienda01,1351.0666666666666,253.58333333333334,1097.4833333333333
79,353,2019-10-10,Tienda02,1091.2666666666667,331.0,760.2666666666668
80,354,2019-10-12,Tienda03,1421.86,227.57666666666668,1194.2833333333333
81,355,2019-10-12,Tienda01,1115.4666666666667,352.93333333333334,762.5333333333333
82,356,2019-10-12,Tienda02,1532.7166666666665,339.93333333333334,1192.7833333333333
83,357,2019-10-11,Tienda03,1046.55,182.29999999999998,864.25
84,358,2019-10-11,Tienda01,829.1999999999999,32.983333333333334,796.2166666666667
85,359,2019-10-11,Tienda02,1511.1333333333332,347.6166666666666,1163.5166666666667
86,360,2019-10-14,Tienda03,855.0,174.6,680.4
